CustomerID,StartDate,TenureMonths,ContractType,Channel,Region,MonthlyFee,AvgWeeklyUsage,SupportTickets_90d,LatePayments_12m,NPS,Churn_3m
C100035,2021-09-23,4,Mensal,Online,Lisboa,20.61,3.24,0,0,-7,0
C100036,2021-02-10,51,Mensal,Loja,Algarve,35.57,2.79,0,0,18,0
C100037,2023-05-04,49,Anual,Online,Ilhas,25.55,3.07,0,1,58,0
C100038,2023-04-24,17,Anual,Online,Lisboa,21.74,2.06,0,0,9,0
C100039,2021-04-24,38,Anual,Parceiro,Centro,37.71,3.86,1,0,-1,0
C100040,2021-06-27,10,Trimestral,Online,Centro,33.93,4.29,2,0,30,0
C100041,2023-03-08,45,Mensal,Online,Alentejo,27.09,3.57,1,0,40,0
C100042,2022-01-09,42,Mensal,Online,Centro,43.61,2.38,0,1,74,1
C100043,2021-02-25,21,Trimestral,Online,Lisboa,28.47,0.0,0,0,36,0
C100044,2021-05-03,5,Trimestral,Loja,Algarve,32.26,4.03,1,1,44,0
C100045,2022-01-08,58,Mensal,Online,Lisboa,34.15,4.75,0,1,47,0
C100046,2022-05-18,27,Mensal,Loja,Lisboa,27.04,3.83,1,0,-10,0
C100047,2022-07-23,53,Mensal,Loja,Norte,35.77,1.39,0,1,-4,0
C100048,2021-05-18,40,Mensal,Online,Centro,27.73,3.88,0,0,-8,1
C100049,2021-11-30,46,Mensal,Parceiro,Alentejo,28.71,4.18,0,0,-15,0
C100050,2021-08-23,45,Mensal,Parceiro,Lisboa,42.9,5.29,1,0,49,0
C100051,2022-04-27,12,Trimestral,Online,Norte,23.68,1.4,0,0,34,0
C100052,2021-10-17,22,Anual,Online,Norte,12.7,2.44,0,0,27,0
C100053,2021-07-03,28,Mensal,Online,Norte,44.89,4.0,0,0,-53,1
C100054,2023-01-04,30,Trimestral,Online,Alentejo,52.39,2.89,0,0,87,1
C100055,2022-05-28,3,Anual,Loja,Lisboa,28.76,1.01,0,0,-2,0
C100056,2022-03-03,33,Mensal,Loja,Lisboa,16.51,3.46,0,0,87,0
C100057,2021-05-02,10,Trimestral,Online,Lisboa,29.52,3.73,0,0,-18,0
C100058,2021-03-05,44,Mensal,Online,Norte,29.71,2.94,0,0,1,0
C100059,2022-12-18,41,Trimestral,Online,Lisboa,30.48,3.15,0,0,-41,1
C100060,2023-05-22,55,Mensal,Parceiro,Norte,23.09,2.39,1,0,36,1
C100061,2022-06-10,44,Anual,Parceiro,Ilhas,36.64,5.17,0,0,-8,0
C100062,2021-02-05,22,Anual,Online,Norte,36.2,1.36,1,0,-7,1
C100063,2022-03-10,58,Mensal,Loja,Lisboa,20.04,1.86,0,0,-16,1
C100064,2021-09-10,25,Mensal,Loja,Norte,37.59,2.82,1,0,48,0
C100065,2021-02-19,20,Mensal,Loja,Algarve,48.42,4.21,1,2,46,0
C100066,2021-05-09,54,Trimestral,Loja,Norte,33.38,0.4,1,2,79,1
C100067,2022-03-26,22,Trimestral,Parceiro,Ilhas,29.3,0.7,0,0,4,1
C100068,2022-01-20,5,Mensal,Online,Norte,30.86,0.0,0,0,32,1
C100069,2022-05-23,28,Anual,Online,Algarve,36.92,2.85,1,0,-14,0
C100070,2022-09-17,47,Mensal,Parceiro,Alentejo,18.15,1.01,1,0,15,0
C100071,2021-08-28,12,Mensal,Online,Centro,33.32,2.18,1,0,9,0
C100072,2021-09-15,28,Mensal,Online,Centro,28.88,3.86,1,0,39,0
C100073,2022-09-02,8,Mensal,Loja,Lisboa,46.78,1.77,0,1,56,0
C100074,2021-06-27,41,Mensal,Loja,Algarve,30.61,3.17,0,0,55,1
C100075,2021-03-11,29,Mensal,Loja,Algarve,45.34,2.32,0,0,0,0
C100076,2023-02-08,20,Mensal,Loja,Norte,23.17,3.88,0,0,55,0
C100077,2021-07-07,14,Anual,Loja,Lisboa,36.7,3.56,0,1,24,0
C100078,2021-04-19,34,Mensal,Online,Centro,34.56,1.69,0,0,15,0
C100079,2022-10-26,40,Anual,Loja,Norte,25.05,2.53,0,0,4,1
C100080,2022-04-24,56,Trimestral,Loja,Alentejo,33.42,4.47,0,0,8,0
C100081,2021-05-13,26,Trimestral,Parceiro,Centro,41.7,3.43,1,0,77,0
C100082,2023-02-05,10,Mensal,Online,Centro,29.41,0.56,2,1,34,1
C100083,2021-08-09,50,Trimestral,Online,Algarve,18.46,3.85,1,0,30,0
C100084,2022-09-01,38,Mensal,Loja,Algarve,31.86,1.06,1,0,17,0
C100085,2022-08-09,42,Mensal,Online,Algarve,24.78,5.06,0,0,98,0
C100086,2023-01-17,6,Mensal,Online,Norte,29.26,4.44,0,0,64,0
C100087,2022-10-18,19,Mensal,Loja,Ilhas,31.35,3.26,0,0,3,0
C100088,2022-09-25,46,Anual,Loja,Lisboa,18.35,3.05,1,0,17,1
C100089,2021-02-16,50,Anual,Online,Lisboa,19.07,2.47,2,0,19,0
C100090,2023-04-25,26,Trimestral,Online,Norte,35.86,3.89,0,1,29,0
C100091,2021-04-24,48,Mensal,Online,Algarve,27.82,2.21,1,0,4,1
C100092,2021-08-17,50,Anual,Loja,Lisboa,11.48,3.18,0,0,38,0
C100093,2022-02-06,23,Trimestral,Loja,Algarve,38.28,4.2,0,0,69,0
C100094,2021-09-17,53,Mensal,Online,Alentejo,34.18,1.9,1,0,-14,0
C100095,2022-06-18,18,Mensal,Online,Algarve,26.29,1.81,0,0,-9,0
C100096,2021-02-17,15,Trimestral,Online,Alentejo,21.47,0.89,0,0,11,0
C100097,2022-02-13,41,Mensal,Online,Ilhas,38.69,1.1,0,0,12,0
C100098,2021-11-11,38,Mensal,Online,Centro,34.79,0.0,0,0,85,0
C100099,2022-08-06,9,Trimestral,Loja,Centro,51.06,3.97,1,0,55,0
C100100,2022-04-13,50,Mensal,Online,Alentejo,35.36,5.69,0,0,53,0
C100101,2022-11-12,12,Mensal,Online,Lisboa,35.1,5.08,0,0,17,0
C100102,2021-05-29,48,Mensal,Loja,Lisboa,30.66,0.2,0,0,16,0
C100103,2023-05-05,1,Trimestral,Online,Alentejo,38.53,3.96,0,0,-19,0
C100104,2021-12-19,48,Anual,Online,Lisboa,37.0,5.08,0,1,48,0
C100105,2021-11-11,47,Anual,Online,Algarve,42.01,2.07,1,0,40,0
C100106,2022-05-09,47,Trimestral,Online,Centro,27.83,2.96,0,0,64,0
C100107,2021-05-27,40,Trimestral,Online,Algarve,28.52,0.0,0,0,19,0
C100108,2023-01-04,28,Trimestral,Loja,Norte,28.17,3.23,0,0,21,0
C100109,2021-08-26,42,Mensal,Online,Alentejo,38.33,1.1,0,0,30,0
C100110,2023-04-15,17,Mensal,Loja,Algarve,43.99,3.12,2,1,52,1
C100111,2021-05-14,47,Trimestral,Loja,Centro,28.33,0.3,1,0,-19,1
C100112,2023-02-17,33,Trimestral,Online,Centro,28.6,3.67,1,0,47,0
C100113,2021-12-21,28,Mensal,Online,Centro,34.51,4.44,0,0,24,1
C100114,2022-07-01,30,Anual,Online,Lisboa,30.03,1.55,0,1,-7,0
C100115,2023-02-25,34,Trimestral,Online,Lisboa,39.62,0.98,0,0,-38,1
C100116,2021-04-27,3,Mensal,Loja,Norte,13.99,0.0,0,0,21,1
C100117,2021-11-09,9,Mensal,Online,Algarve,25.39,2.37,0,0,68,0
C100118,2023-05-04,15,Mensal,Loja,Centro,25.74,1.87,1,0,75,0
C100119,2021-05-14,7,Mensal,Loja,Lisboa,13.44,0.32,0,0,36,0
C100120,2021-04-03,26,Mensal,Loja,Lisboa,24.29,3.52,0,0,84,1
C100121,2022-04-16,40,Mensal,Loja,Norte,24.68,2.08,1,0,24,0
C100122,2021-01-23,39,Mensal,Loja,Norte,30.39,1.08,0,0,54,1
C100123,2023-06-12,28,Mensal,Parceiro,Ilhas,40.9,1.91,0,0,11,0
C100124,2023-03-25,51,Trimestral,Parceiro,Alentejo,30.04,4.51,0,0,10,0
C100125,2021-06-19,34,Trimestral,Online,Norte,23.75,3.76,0,1,5,0
C100126,2021-06-05,5,Mensal,Online,Algarve,31.54,2.59,1,0,-37,0
C100127,2022-12-02,46,Mensal,Online,Lisboa,40.39,3.79,1,1,64,0
C100128,2022-04-14,34,Mensal,Online,Norte,24.19,0.94,1,0,6,1
C100129,2023-01-12,38,Mensal,Loja,Alentejo,24.72,2.85,0,0,1,0
C100130,2023-05-21,34,Mensal,Online,Lisboa,36.47,3.04,0,0,-10,1
C100131,2021-12-28,33,Mensal,Loja,Centro,30.23,2.05,0,0,19,1
C100132,2021-08-17,6,Mensal,Loja,Algarve,37.18,3.5,0,1,78,0
C100133,2022-07-12,33,Anual,Online,Centro,31.89,1.55,0,0,88,0
C100134,2022-07-26,47,Mensal,Loja,Centro,37.61,3.62,0,0,-25,0
C100135,2022-01-25,18,Anual,Online,Centro,23.72,3.68,0,0,14,0
C100136,2021-09-27,36,Mensal,Loja,Algarve,31.9,0.0,0,0,-6,1
C100137,2021-08-25,2,Mensal,Loja,Alentejo,30.31,4.7,0,0,55,1
C100138,2022-04-15,21,Anual,Online,Algarve,22.27,0.0,1,0,34,1
C100139,2022-01-19,26,Mensal,Loja,Centro,19.49,1.81,0,0,6,0
C100140,2022-02-16,58,Trimestral,Online,Algarve,37.49,4.44,0,0,27,0
C100141,2021-03-27,13,Anual,Loja,Lisboa,29.19,2.29,1,0,11,0
C100142,2023-03-04,17,Trimestral,Loja,Centro,23.82,0.45,1,0,73,1
C100143,2022-09-29,25,Mensal,Online,Norte,31.23,1.05,0,0,41,0
C100144,2023-04-08,59,Mensal,Loja,Algarve,41.02,4.44,0,0,45,0
C100145,2023-01-17,51,Mensal,Parceiro,Centro,13.75,0.0,0,0,-55,0
C100146,2022-07-11,3,Mensal,Loja,Alentejo,20.03,4.61,2,0,23,0
C100147,2021-10-04,14,Mensal,Loja,Lisboa,24.62,2.71,1,0,87,0
C100148,2022-08-12,49,Anual,Loja,Norte,43.69,0.89,0,0,65,0
C100149,2022-05-25,4,Trimestral,Online,Ilhas,34.26,1.87,0,0,-30,1
C100150,2023-04-12,51,Mensal,Loja,Algarve,38.14,1.17,0,0,16,1
C100151,2021-07-28,17,Mensal,Loja,Lisboa,22.88,4.19,1,0,-11,0
C100152,2021-01-24,55,Trimestral,Online,Alentejo,23.04,3.97,0,0,76,0
C100153,2021-04-25,18,Anual,Online,Lisboa,35.58,0.05,0,0,32,0
C100154,2021-06-07,26,Mensal,Online,Algarve,32.47,2.15,0,1,2,1
C100155,2022-08-21,40,Mensal,Online,Norte,36.39,1.42,0,0,26,0
C100156,2021-05-12,8,Anual,Online,Lisboa,30.5,4.87,1,0,-53,0
C100157,2021-05-01,33,Anual,Online,Centro,34.23,0.64,0,0,-8,0
C100158,2021-12-24,30,Anual,Loja,Lisboa,33.26,5.37,0,1,26,0
C100159,2022-12-05,47,Mensal,Online,Lisboa,38.22,2.75,0,0,50,0
C100160,2022-01-18,59,Mensal,Online,Norte,38.46,0.94,0,0,-33,1
C100161,2021-09-02,40,Mensal,Loja,Ilhas,19.04,1.72,2,0,14,1
C100162,2021-09-13,25,Mensal,Online,Norte,14.02,1.52,1,0,55,0
C100163,2023-01-07,24,Anual,Online,Norte,40.01,0.76,0,0,-19,0
C100164,2022-01-25,25,Mensal,Loja,Lisboa,41.5,2.95,1,0,32,0
C100165,2021-11-28,49,Trimestral,Parceiro,Lisboa,23.84,0.84,1,0,27,0
C100166,2022-11-28,19,Anual,Loja,Norte,17.12,0.0,0,1,76,0
C100167,2021-11-28,10,Anual,Online,Lisboa,32.79,2.19,0,0,18,0
C100168,2021-11-18,20,Trimestral,Online,Alentejo,39.45,0.0,0,0,20,0
C100169,2022-11-07,2,Anual,Parceiro,Norte,46.38,1.6,0,0,51,0
C100170,2021-10-22,7,Mensal,Loja,Ilhas,36.13,1.35,0,1,-15,0
C100171,2022-04-05,6,Mensal,Loja,Centro,29.03,1.41,0,0,18,0
C100172,2022-08-22,46,Mensal,Loja,Alentejo,24.85,6.0,0,1,11,0
C100173,2021-06-30,43,Anual,Online,Norte,32.09,2.89,0,0,21,0
C100174,2021-04-26,42,Anual,Online,Alentejo,29.61,3.19,0,0,50,0
C100175,2023-02-05,28,Mensal,Loja,Algarve,23.88,0.0,0,0,42,0
C100176,2021-09-25,43,Mensal,Parceiro,Norte,48.39,1.75,0,0,3,1
C100177,2021-11-03,10,Mensal,Online,Norte,46.28,3.14,0,0,29,0
C100178,2022-06-15,54,Mensal,Loja,Centro,41.09,1.16,0,1,70,0
C100179,2021-04-03,30,Anual,Online,Norte,24.63,4.25,0,1,0,0
C100180,2021-02-11,56,Mensal,Parceiro,Ilhas,38.84,0.88,1,0,29,1
C100181,2022-01-10,9,Trimestral,Online,Lisboa,37.12,2.34,0,1,19,0
C100182,2023-05-22,30,Trimestral,Loja,Lisboa,35.54,1.86,0,0,23,0
C100183,2022-06-01,42,Mensal,Online,Ilhas,42.0,3.06,2,0,-24,1
C100184,2022-06-05,30,Mensal,Loja,Algarve,37.08,1.78,0,0,67,1
C100185,2022-07-03,27,Anual,Loja,Algarve,37.92,2.37,0,1,2,1
C100186,2023-02-14,10,Trimestral,Online,Centro,37.1,2.42,1,0,56,0
C100187,2023-01-23,23,Mensal,Loja,Centro,34.73,1.62,0,0,6,1
C100188,2021-01-22,15,Mensal,Parceiro,Centro,17.73,3.58,2,0,6,1
C100189,2022-05-03,18,Anual,Parceiro,Centro,32.67,3.18,0,0,61,0
C100190,2022-05-07,41,Anual,Online,Lisboa,27.55,2.66,0,0,55,0
C100191,2021-07-21,38,Anual,Loja,Norte,21.76,2.11,0,0,31,0
C100192,2023-05-28,36,Trimestral,Loja,Lisboa,45.45,4.07,0,0,48,0
C100193,2021-08-24,22,Anual,Loja,Lisboa,45.83,2.42,2,1,16,0
C100194,2023-01-21,57,Mensal,Loja,Centro,42.87,2.31,0,0,25,0
C100195,2021-04-01,6,Trimestral,Loja,Norte,34.04,2.97,0,0,5,0
C100196,2022-06-26,21,Mensal,Online,Lisboa,42.81,5.51,0,0,52,0
C100197,2022-10-25,7,Trimestral,Online,Lisboa,32.1,0.66,1,0,4,0
C100198,2022-03-30,20,Anual,Online,Alentejo,33.62,4.03,0,0,70,0
C100199,2021-04-06,57,Anual,Online,Alentejo,23.25,0.0,0,0,16,1
C100200,2021-04-22,22,Mensal,Online,Centro,35.18,3.15,0,1,26,1
C100201,2022-06-30,54,Trimestral,Online,Norte,32.48,5.32,0,0,48,0
C100202,2023-02-16,30,Anual,Loja,Centro,21.58,3.58,1,1,26,0
C100203,2022-06-22,42,Anual,Loja,Norte,31.59,3.07,0,1,16,1
C100204,2021-04-01,27,Trimestral,Online,Lisboa,31.36,1.9,1,1,24,0
C100205,2022-12-08,16,Mensal,Loja,Ilhas,46.38,2.85,1,0,52,1
C100206,2022-02-18,46,Mensal,Parceiro,Centro,39.15,2.4,0,0,5,1
C100207,2021-03-09,58,Anual,Parceiro,Centro,32.09,1.54,1,0,21,0
C100208,2021-11-28,16,Trimestral,Loja,Alentejo,33.99,2.34,0,0,25,0
C100209,2021-07-02,46,Trimestral,Parceiro,Lisboa,32.35,3.12,0,1,51,0
C100210,2023-06-07,16,Trimestral,Loja,Norte,30.38,1.57,0,0,22,0
C100211,2023-03-30,43,Mensal,Parceiro,Norte,23.34,1.51,0,1,79,0
C100212,2021-04-06,47,Mensal,Parceiro,Ilhas,30.79,0.62,0,0,20,1
C100213,2022-05-31,27,Anual,Online,Norte,26.03,3.43,1,0,18,0
C100214,2021-01-07,44,Mensal,Parceiro,Alentejo,22.0,3.67,0,0,20,0
C100215,2022-02-16,17,Trimestral,Loja,Algarve,36.09,3.17,0,0,-14,0
C100216,2021-05-21,5,Trimestral,Loja,Centro,35.13,4.34,1,0,-6,0
C100217,2022-11-04,6,Anual,Parceiro,Alentejo,17.71,2.94,0,0,9,0
C100218,2021-03-06,27,Mensal,Online,Norte,31.02,3.43,0,0,59,0
C100219,2023-03-24,54,Trimestral,Online,Centro,39.97,3.29,1,0,24,0
C100220,2021-07-28,8,Mensal,Loja,Centro,40.47,2.65,0,0,10,1
C100221,2021-08-25,27,Mensal,Loja,Ilhas,40.21,1.95,1,0,62,0
C100222,2023-03-09,42,Mensal,Parceiro,Centro,32.31,6.34,0,0,72,0
C100223,2023-03-23,12,Mensal,Parceiro,Norte,25.24,2.08,0,0,63,1
C100224,2021-03-28,43,Anual,Loja,Ilhas,23.33,1.73,0,0,-1,1
C100225,2021-04-08,19,Anual,Parceiro,Norte,34.76,3.49,0,0,10,0
C100226,2023-02-08,48,Mensal,Online,Algarve,35.03,3.2,0,0,79,0
C100227,2023-05-30,35,Anual,Parceiro,Alentejo,42.3,0.55,0,1,32,1
C100228,2022-03-16,33,Mensal,Online,Lisboa,40.8,4.6,0,0,17,0
C100229,2021-05-29,11,Trimestral,Loja,Algarve,30.94,2.65,0,0,47,0
C100230,2021-05-18,28,Anual,Online,Alentejo,22.05,1.02,1,0,55,1
C100231,2021-08-28,51,Trimestral,Loja,Norte,29.45,4.7,0,1,8,0
C100232,2022-09-09,2,Mensal,Online,Ilhas,33.74,3.8,0,1,32,1
C100233,2021-03-28,45,Mensal,Online,Ilhas,30.38,0.78,0,0,53,0
C100234,2022-08-01,30,Mensal,Loja,Algarve,27.38,5.64,0,0,-10,0
C100235,2022-12-25,43,Anual,Loja,Lisboa,34.02,3.85,0,0,25,0
C100236,2021-05-10,40,Trimestral,Online,Lisboa,27.97,2.78,0,0,-8,1
C100237,2023-06-05,26,Mensal,Loja,Lisboa,26.98,5.34,1,0,-5,0
C100238,2023-06-08,19,Mensal,Online,Norte,34.49,3.05,0,0,8,0
C100239,2021-09-25,38,Anual,Online,Lisboa,28.78,2.76,0,1,39,0
C100240,2021-04-11,9,Mensal,Online,Lisboa,33.95,1.74,1,0,15,0
C100241,2021-10-21,35,Trimestral,Loja,Alentejo,34.19,3.73,1,1,6,0
C100242,2021-08-21,6,Trimestral,Loja,Centro,22.88,3.56,0,0,27,0
C100243,2021-09-09,39,Mensal,Loja,Lisboa,28.15,2.82,0,0,-9,0
C100244,2023-04-13,38,Mensal,Loja,Alentejo,43.5,1.54,0,0,38,0
C100245,2021-05-20,5,Mensal,Loja,Lisboa,22.7,3.01,1,0,59,0
C100246,2021-10-13,45,Mensal,Loja,Ilhas,15.07,2.69,1,0,23,0
C100247,2022-12-10,25,Trimestral,Parceiro,Alentejo,17.11,0.67,2,0,19,1
C100248,2021-02-21,47,Anual,Online,Norte,32.23,0.45,0,0,36,0
C100249,2021-02-24,3,Mensal,Online,Norte,32.25,3.7,1,0,-36,0
C100250,2021-09-29,11,Mensal,Online,Alentejo,31.06,0.0,1,0,41,1
C100251,2023-05-21,30,Mensal,Loja,Lisboa,41.71,3.13,0,0,100,0
C100252,2023-01-26,12,Mensal,Loja,Algarve,10.62,2.04,0,0,21,1
C100253,2023-04-15,20,Trimestral,Online,Norte,35.17,4.89,2,0,21,0
C100254,2023-02-17,39,Trimestral,Parceiro,Norte,44.49,2.01,2,0,47,0
C100255,2021-04-17,9,Trimestral,Parceiro,Lisboa,22.98,3.86,0,0,74,0
C100256,2021-12-27,40,Mensal,Online,Algarve,28.96,2.16,1,0,54,0
C100257,2022-04-22,7,Trimestral,Online,Ilhas,25.98,2.98,0,0,-40,0
C100258,2021-05-30,11,Mensal,Online,Algarve,24.85,3.98,1,0,42,0
C100259,2023-06-13,35,Anual,Online,Lisboa,29.39,2.06,2,0,100,0
C100260,2022-06-27,47,Trimestral,Parceiro,Algarve,43.42,4.39,0,0,44,0
C100261,2023-02-07,11,Anual,Loja,Norte,46.7,1.21,0,0,-10,0
C100262,2021-08-21,18,Mensal,Online,Lisboa,29.31,3.27,0,0,33,0
C100263,2022-10-06,55,Mensal,Loja,Ilhas,47.24,4.28,0,0,-13,0
C100264,2021-04-06,59,Trimestral,Online,Lisboa,32.28,3.86,0,0,62,0
C100265,2021-01-21,35,Mensal,Online,Ilhas,46.03,5.87,0,0,-4,0
C100266,2022-07-31,27,Trimestral,Online,Centro,31.25,1.58,0,0,27,0
C100267,2021-03-03,21,Mensal,Loja,Norte,33.05,0.59,0,0,-1,1
C100268,2021-09-06,37,Anual,Loja,Lisboa,34.92,1.21,0,0,9,0
C100269,2022-12-16,35,Mensal,Parceiro,Algarve,57.43,3.86,0,1,70,0
C100270,2022-03-24,18,Anual,Online,Centro,38.81,3.6,0,1,28,0
C100271,2021-12-05,2,Mensal,Loja,Algarve,26.34,2.96,1,0,8,0
C100272,2021-09-19,9,Mensal,Online,Norte,39.75,1.0,2,0,-9,1
C100273,2022-08-25,57,Mensal,Online,Algarve,29.11,4.03,0,0,-31,0
C100274,2023-05-09,25,Mensal,Parceiro,Lisboa,28.08,0.84,0,0,-13,0
C100275,2022-10-28,29,Anual,Loja,Norte,39.27,4.65,0,0,28,0
C100276,2021-11-20,28,Anual,Online,Alentejo,32.25,7.37,0,0,54,0
C100277,2022-01-15,47,Anual,Loja,Alentejo,34.23,3.39,0,0,8,0
C100278,2021-04-03,4,Anual,Loja,Lisboa,32.11,3.73,2,1,72,1
C100279,2021-05-10,5,Trimestral,Parceiro,Centro,34.69,2.01,0,0,3,0
C100280,2021-08-30,17,Mensal,Loja,Norte,35.4,0.0,0,0,18,1
C100281,2021-12-15,29,Anual,Online,Ilhas,16.5,1.84,1,0,-7,1
C100282,2023-06-11,40,Mensal,Loja,Alentejo,37.33,1.05,0,1,55,0
C100283,2023-02-23,29,Anual,Online,Algarve,24.14,0.48,0,1,88,0
C100284,2021-04-12,27,Mensal,Online,Alentejo,20.46,5.56,0,0,-28,0
C100285,2021-10-25,56,Trimestral,Loja,Algarve,31.53,3.24,0,0,15,0
C100286,2021-02-20,10,Mensal,Loja,Norte,32.67,3.41,0,0,63,0
C100287,2021-02-26,34,Mensal,Online,Lisboa,26.45,2.31,0,0,-18,1
C100288,2021-12-04,32,Mensal,Loja,Alentejo,38.65,2.52,0,0,42,0
C100289,2023-05-14,28,Mensal,Loja,Norte,21.26,4.34,0,1,62,0
C100290,2021-06-16,48,Mensal,Loja,Norte,28.74,2.75,0,1,27,0
C100291,2022-09-05,16,Mensal,Online,Alentejo,27.32,3.65,0,1,42,0
C100292,2021-12-20,57,Mensal,Online,Algarve,31.63,2.49,1,0,78,0
C100293,2022-05-02,20,Trimestral,Online,Alentejo,34.23,2.25,1,0,83,0
C100294,2023-02-22,33,Mensal,Online,Norte,23.94,0.55,0,0,23,1
C100295,2023-01-17,31,Anual,Online,Ilhas,37.79,0.0,1,1,9,0
C100296,2023-01-16,51,Mensal,Online,Norte,32.5,2.38,0,0,-3,0
C100297,2022-01-06,26,Trimestral,Online,Centro,16.86,2.89,0,0,54,0
C100298,2021-02-13,17,Mensal,Online,Ilhas,16.33,0.74,0,0,-16,1
C100299,2023-06-06,2,Mensal,Parceiro,Algarve,31.9,2.74,3,0,17,0
C100300,2023-06-14,22,Trimestral,Loja,Ilhas,30.23,2.89,0,0,28,0
C100301,2023-02-11,49,Trimestral,Online,Algarve,31.17,0.0,1,0,10,0
C100302,2022-03-06,1,Mensal,Parceiro,Alentejo,31.78,1.34,1,0,33,0
C100303,2021-09-10,53,Mensal,Online,Centro,33.8,3.45,0,0,100,0
C100304,2021-06-07,33,Mensal,Online,Centro,39.58,3.42,1,1,21,0
C100305,2021-11-30,9,Mensal,Loja,Ilhas,23.11,0.95,0,0,12,0
C100306,2021-10-28,18,Mensal,Online,Algarve,22.62,3.05,0,0,55,0
C100307,2021-09-06,33,Trimestral,Online,Lisboa,23.25,4.44,0,0,32,1
C100308,2023-05-06,19,Mensal,Online,Lisboa,34.31,4.04,1,0,68,0
C100309,2022-08-17,7,Trimestral,Loja,Centro,41.96,2.65,0,0,30,0
C100310,2021-07-20,40,Mensal,Loja,Centro,28.55,2.05,0,0,18,1
C100311,2022-07-30,40,Mensal,Online,Algarve,11.99,1.79,0,0,-29,1
C100312,2022-09-27,8,Mensal,Online,Norte,18.37,3.55,0,0,-24,0
C100313,2022-04-16,17,Mensal,Online,Lisboa,25.34,3.11,0,1,-30,0
C100314,2023-05-03,15,Mensal,Loja,Ilhas,27.54,3.81,3,0,36,0
C100315,2023-05-20,39,Anual,Online,Lisboa,28.73,3.01,0,0,-16,0
C100316,2022-01-24,44,Trimestral,Parceiro,Lisboa,32.31,4.11,1,0,63,0
C100317,2022-03-02,43,Mensal,Loja,Centro,29.51,2.95,0,0,26,1
C100318,2021-07-15,56,Mensal,Online,Norte,40.39,4.06,1,0,18,1
C100319,2022-12-07,46,Anual,Loja,Centro,26.59,4.19,1,0,0,0
C100320,2023-04-18,19,Mensal,Online,Norte,25.1,1.51,0,0,44,0
